category,question,answer
無線LAN,周波数が5GHz、帯域幅が20MHz、最大速度が11Mbpsである規格は何か。,11a
無線LAN,周波数が2.4GHz/5GHz、帯域幅が20/40MHz、最大速度が600Mbpsである規格は何か。,11n
無線LAN,周波数が5GHz、帯域幅が20/40/80/160MHz、最大速度が6.93Gbpsである規格は何か。,11ac
無線LAN,周波数が2.4GHz/5GHz、帯域幅が20/40/80/160MHz、最大速度が9.6Gbpsである規格は何か。,11ax
無線LAN,異なる周波数帯の規格での互換性はあるか。,ない
無線LAN,IEEE 802.11nやIEEE 802.11acなどで利用されている無線LANの高速化技術を2つ述べよ。,MIMO、チャネルボンディング
無線LAN,2.4GHz帯の周波数を使用する無線通信技術の一つで、近距離で低速な通信に限定されるが、消費電力が小さくワイヤレスのマウスやキーボード等に利用される技術は何か。,Bluetooth
無線LAN,無線LANにおいて、PoE（Power over Ethernet）の技術はなぜ有利か。,無線のAPは天井などの電源コンセントがない場所に設置することもある。LANケーブルを使って電源も供給すれば延長コードなどを天井裏にまで通す必要がない。
無線LAN,PoEで無線APに電源を供給する機器および接続構成を示せ。,多くの場合、PoEに対応したスイッチングハブと無線APをLANケーブルで接続して電源を供給する。
無線LAN,なぜ無線LANは有線LANに比べてセキュリティ対策が必要になるのか。,無線LANはケーブルを物理的に接続する必要が無く、電波の届く範囲なら壁を越えてどこでも通信が可能だから。（つまり、第三者が盗聴などの不正行為をしやすい環境にある）
無線LAN,無線LANのAPの設定で、〇〇接続拒否というのがある。これはSSIDが空白または〇〇での接続要求を拒否する機能である。,any
無線LAN,APで定期的に送信するビーコン信号を停止する機能のことをSSIDの何機能というか。,ステルス機能
無線LAN,無線LANの認証として、SSIDやMACアドレスを使うのは安全とはいえない。その理由は何か。,SSIDやMACアドレスは暗号化できないので、傍受されるから。
無線LAN,代表的な無線LANのセキュリティ方式にはWEP、WPA、WPA2があり、暗号化アルゴリズムにはWPAでは〇〇、WPA2では〇〇より強固な△△を利用している。,RC4、AES
無線LAN,WPA3は2018年6月に発表された規格である。WPA2ではPSKを使ったが、WPA3では事前共有鍵をより安全にやりとりする〇〇という技術に改良されている。,SAE
無線LAN,TKIPでは、フェーズ1で一時鍵、IVおよび無線LAN端末の〇〇の3つを混合してキーストリーム1を生成する。フェーズ2でキーストリーム1にIVの拡張された部分を混合して、暗号鍵であるキーストリーム2を生成する。,MACアドレス
無線LAN,WPA（WPA2）では、パーソナルモードで利用される〇〇による認証と、エンタープライズモードで利用される△△認証がある。,PSK、IEEE 802.1X
無線LAN,IEEE 802.1X認証には、ユーザID/パスワードによる認証である〇〇と、クライアント証明書を使った△△がある。,PEAP、EAP-TLS
無線LAN,来訪者にはパーソナルモードで無線LANを設定してもらうことにした。来訪者に教える情報を2つ述べよ。,ネットワーク名（SSID）、セキュリティキー（PSK）
無線LAN,無線LANの暗号化通信で使われる鍵は、第三者に盗聴されるリスクがあるため、乱数を組み合わせるなどして毎回変更する。そのもとになる鍵を何と言うか。,PMK
無線LAN,無線LAN端末を移動しながら利用すると接続するAPが変わる。このとき接続するAPに改めてPMK（Pairwise Master Key）の作成などの認証処理が発生するため、少しの間通信ができなくなる。この切替わりの時間（ハンドオーバ時間）を短縮するためにWPA2で追加されている機能を2つ述べよ。,事前認証、認証キーの保持
音声とVoIP,音声通話において1回の通話を「呼」という。また単位時間当たりの呼の量のことを〇〇といい、単位に△△を用いる。,呼量、アーラン
音声とVoIP,VoIPとは言葉のとおり、音声をパケット化して〇〇上で通信する技術である。,IP
音声とVoIP,IPの技術では、一般的にアナログ信号の音声が〇〇信号に変換される。,デジタル
音声とVoIP,アナログ電話機の音声をVoIP化するときに利用される機器は何か。,VoIPゲートウェイ
音声とVoIP,普通のアナログ構成とIP電話機の違いは何か。物理的なケーブルやプロトコルの観点で述べよ。,アナログ電話機は電話線に接続し、アナログ電話用の通信プロトコルを使う。IP電話機はRJ45のコネクタからLANケーブルと接続し、IPを使って通信をする。
音声とVoIP,電話の通信には「もしもし」「こんにちは」などの話す音声データ以外に電話をかけたり相手を呼び出したり切断したりする制御があるが、これを何制御というか。,呼制御
音声とVoIP,呼制御を行う代表的なプロトコルは何か。,SIP
音声とVoIP,呼制御を行う代表的な機器は何か。,SIPサーバ、IP-PBX
音声とVoIP,内線100の電話機1から内線200の電話機2にSIPサーバを経由して電話をかける場合を考える。まず電話機1はSIPサーバに対して「内線200の電話機と通信したい」という通話要求（〇〇メッセージ）を送る。SIPサーバでは電話情報のデータベースから該当する△△を検索する。その結果を踏まえ、SIPサーバは通話要求を内線200の電話機2に転送する。,INVITE、IPアドレス
音声とVoIP,呼制御のプロトコルはSIPだが、音声通話で使われるプロトコルは何か。,RTP
音声とVoIP,RTPは〇〇層のプロトコルで、トランスポート層には△△を使う。,アプリケーション、UDP
音声とVoIP,（多くの場合）UA間の通信において、SIPとRTPでは通信の流れが異なる。どう異なるか。,SIP通信はSIPサーバを経由するが、RTPはUA間で直接行われる。
音声とVoIP,音声の符号化方式のPCMのビットレートは64kbpsであるが、CS-ACELPのビットレートはいくつか。,8kbps
音声とVoIP,異なるSIPネットワーク間の境界に配置され、両者の仲介役を担うものを何と言うか。参考までに、具体的な装置としてはVoIPゲートウェイが該当する。,B2BUA
