question,answer,explanation,category
CIDRの本来の意味は何ですか？,ルータの負荷軽減です。,CIDRは、ルータが処理するルート情報を集約することで、ルーティングテーブルのサイズを小さくし、ルータの負荷を軽減することを目的としています。,IPアドレスとサブネット
ゼロサブネットとは何ですか？,サブネット部が全て0bitのネットワークのことです。,ゼロサブネットは、サブネット部のビットが全て0であるサブネットを指します。従来は使用が推奨されていませんでしたが、現在のネットワーク機器では使用可能です。,IPアドレスとサブネット
従来のサブネット計画において、ゼロサブネットとサブネット部が全て1bitのネットワークの使用が推奨されていなかった理由は何ですか？,元のネットワークアドレスやブロードキャストアドレスと混同するためです。,ゼロサブネットはネットワークアドレスと、全て1のサブネットはブロードキャストアドレスとアドレスが重複するため、混乱を避けるために推奨されていませんでした。,IPアドレスとサブネット
Ciscoルータでゼロサブネットを使用可能にするコマンドは何ですか？,ip subnet-zero,Ciscoルータで`ip subnet-zero`コマンドを有効にすることで、ゼロサブネットと全て1のサブネットを使用できるようになります。,IPアドレスとサブネット
VLSMの場合、複数の異なるサブネットを作成していく時に何を消費していきますか？,ホスト部のビット,VLSMでは、サブネットを細分化するためにホスト部のビットをネットワーク部として使用することで、利用可能なサブネット数を増やします。,IPアドレスとサブネット
CIDRの場合、複数のネットワークを1つのネットワークにする時に、何を消費していきますか？,ネットワーク部,CIDRでは、複数のネットワークをまとめるために、ネットワーク部のビットをホスト部として使用することで、より大きなネットワークを作成します。,IPアドレスとサブネット
NAT（Network Address Translation）とは、どのような技術ですか？,IPアドレスを変換する技術,NATは、一般的にプライベートIPアドレスをグローバルIPアドレスに変換する技術とされています。,IPアドレスとサブネット
NATは、一般的にIPパケットのヘッダ内のどの情報を変換しますか？,送信元IPアドレス,NATでは、企業ネットワークからインターネットへパケットを送信する際、送信元IPアドレスをグローバルIPアドレスに変換します。,IPアドレスとサブネット
NATを使用する利点の一つは何ですか？,セキュリティの向上,NATは、企業内LANのクライアントPCのIPアドレスを変換してインターネット通信を行うため、セキュリティが向上します。,IPアドレスとサブネット
NATによって、内部ネットワークから外部ネットワークへパケットが送信される時、IPパケットのヘッダ内にある何が変換されますか？,送信元IPアドレス,内部ネットワークから外部ネットワークへパケットが送信される時は、IPパケットのヘッダ内にある送信元IPアドレスが変換されます。,IPアドレスとサブネット
外部から内部へパケット（サーバからの返信パケット）が送信される時は、IPパケットのヘッダ内にある何が変換されますか？,宛先IPアドレス,外部から内部へパケットが送信される時は、宛先IPアドレスが変換されます。,IPアドレスとサブネット
CiscoにおけるNAT用語で、内部ネットワークのホストに割り当てられるIPアドレスを何と言いますか？,内部ローカルアドレス,Ciscoでは、内部ネットワークのホストに割り当てられるIPアドレスを「内部ローカルアドレス（Inside local）」と定義しています。,IPアドレスとサブネット
CiscoにおけるNAT用語で、外部ネットワークから見た、内部ネットワークのホストのIPアドレスを何と言いますか？,内部グローバルアドレス,Ciscoでは、外部ネットワークから見た、内部ネットワークのホストのIPアドレスを「内部グローバルアドレス（Inside global）」と定義しています。,IPアドレスとサブネット
CiscoにおけるNAT用語で、内部ネットワークから見た、外部ネットワークのホストのIPアドレスを何と言いますか？,外部ローカルアドレス,Ciscoでは、内部ネットワークから見た、外部ネットワークのホストのIPアドレスを「外部ローカルアドレス（Outside local）」と定義しています。,IPアドレスとサブネット
CiscoにおけるNAT用語で、外部ネットワークのホストに割り当てられるIPアドレスを何と言いますか？,外部グローバルアドレス,Ciscoでは、外部ネットワークのホストに割り当てられるIPアドレスを「外部グローバルアドレス（Outside global）」と定義しています。,IPアドレスとサブネット
Ciscoルータで内部ネットワークと外部ネットワークを定義するために設定するコマンドは何ですか？,ip nat inside と ip nat outside,Ciscoルータでは、ip nat inside と設定したネットワークが内部ネットワークとなり、ip nat outside と設定したネットワークが外部ネットワークとなります。,IPアドレスとサブネット
NATとは何の略ですか？,Network Address Translation,NATは、ネットワークアドレス変換の略で、IPアドレスを別のIPアドレスに変換する技術です。,IPアドレスとサブネット
NATの主な目的は何ですか？,プライベートIPアドレスをグローバルIPアドレスに変換し、インターネットへのアクセスを可能にすること。,NATは、内部ネットワークのプライベートIPアドレスを、インターネット上で使用できるグローバルIPアドレスに変換することで、内部ネットワークのデバイスがインターネットにアクセスできるようにします。,IPアドレスとサブネット
スタティックNATとはどのような技術ですか？,1対1の固定的なIPアドレス変換を行うNAT,スタティックNATは、内部ローカルアドレスと内部グローバルアドレスを1対1で固定的に対応付けるNATです。システム管理者があらかじめNATルータに変換エントリを設定します。,IPアドレスとサブネット
ダイナミックNATとはどのような技術ですか？,IPアドレスのプールから動的にIPアドレスを割り当てるNAT,ダイナミックNATは、NAT変換に使用するIPアドレスのプールを設定しておき、外部への通信が発生した時にそのプール内のIPアドレスを1つ使用してNAT変換を行うNATです。,IPアドレスとサブネット
スタティックNATとダイナミックNATの違いは何ですか？,スタティックNATは1対1の固定的な変換、ダイナミックNATはIPアドレスプールから動的な割り当て,スタティックNATは事前に設定された1対1の対応を使用しますが、ダイナミックNATは利用可能なIPアドレスのプールからアドレスを割り当てます。,IPアドレスとサブネット
NATルータが戻りのパケットを受信した際、どのような処理を行いますか？,宛先アドレス変換,NATルータは、戻りのパケットを受信すると、送信元アドレス変換で変換したアドレスを元に戻すために、宛先アドレス変換を行います。,IPアドレスとサブネット
クライアントPCがインターネット通信をする場合、一般的に利用される技術は何ですか？,PAT（Port Address Translation）,クライアントPCがインターネット通信をする場合、スタティックNATやダイナミックNATではなく、PATという技術を使用してインターネット通信を行うのが極めて一般的です。,IPアドレスとサブネット
ダイナミックNATでは、IPアドレスはどのように割り当てられますか？,プール内の小さい値のIPアドレスから順に割り当てられる。,ダイナミックNATでは、設定されたIPアドレスプールの中で、最も小さい値のIPアドレスから順番に使用されます。,IPアドレスとサブネット
1つのルータでダイナミックNATとスタティックNATの両方が設定されている場合、どちらが優先されますか？,スタティックNAT,1つのルータでダイナミックNATとスタティックNATの両方が設定されている場合は、スタティックNATの設定が優先されます。,IPアドレスとサブネット
NATはどのようなアドレス変換を行う技術ですか？,送信元アドレス変換と宛先アドレス変換,NATは、パケットの送信元アドレスを変換するだけでなく、戻りのパケットに対して宛先アドレスを変換することで、通信を正しく確立します。,IPアドレスとサブネット
NAPTとは何ですか？,1つのIPアドレスを複数のコンピュータで共有するためのアドレス変換技術,NAPT（Network Address Port Translation）は、IPアドレスとTCP/UDPポート番号を変換することで、1つのグローバルIPアドレスを複数のコンピュータで共有する技術です。,IPアドレスとサブネット
NAPTは、NATと比べてどのような利点がありますか？,グローバルIPアドレスの消費を抑えることができる,NATではIPアドレスを1対1で変換するため、多数のコンピュータが同時にインターネット通信を行うには多数のグローバルIPアドレスが必要ですが、NAPTではポート番号も利用して多重化するため、少ないグローバルIPアドレスで済みます。,IPアドレスとサブネット
Cisco社ではNAPTのことを何と呼んでいますか？,PAT（Port Address Translation）,Cisco社では、NAPTと同じ技術をPAT（Port Address Translation）と呼んでいます。,IPアドレスとサブネット
LinuxではNAPTのことを何と呼んでいますか？,IPマスカレード,Linux環境では、NAPTと同様の機能をIPマスカレードと呼ぶことがあります。,IPアドレスとサブネット
NATで100台のコンピュータが同時にインターネット通信を行いたい場合、グローバルIPアドレスは何個必要ですか？,100個,スタティックNATやダイナミックNATでは、IPアドレスが1対1で変換されるため、100台のコンピュータそれぞれにグローバルIPアドレスが必要です。,IPアドレスとサブネット
NAPTでは、IPアドレスに加えて何を変換しますか？,TCP/UDPのポート番号,NAPTでは、IPアドレスだけでなく、TCP/UDPのポート番号も変換することで、複数のコンピュータが同じIPアドレスを共有できるようにしています。,IPアドレスとサブネット
NAPTは、NATテーブルで何と何の変換エントリを表示しますか？,外部ローカルアドレスと外部グローバルアドレス,NAPTはNATテーブルで「外部ローカルアドレス」と「外部グローバルアドレス」の変換エントリを表示しますが、宛先アドレスは変換されません。,IPアドレスとサブネット
NAPTの仕組みで、NATと同様に行うことは何ですか？,送信元アドレスの変換,NAPTはNATと同様に送信元アドレスの変換を行います。NAT変換エントリとしてIPアドレスだけでなくポート番号も登録します。,IPアドレスとサブネット
NAPTにおいて、NATエントリの検索を行う際に使用する情報は、NATと比較して何が追加されていますか？,ポート番号,NATでは「内部グローバルアドレス」情報をもとにNATテーブルを検索しますが、NAPTでは「内部グローバルアドレス＋ポート番号」「外部グローバルアドレス＋ポート番号」の4つの情報をもとにNATテーブル上の検索を行います。,IPアドレスとサブネット
NAPTで変換されないアドレスは何ですか？,宛先アドレス,NAPTはNATテーブルで「外部ローカルアドレス」と「外部グローバルアドレス」の変換エントリを表示しますが、この宛先アドレスは変換されたりしません。,IPアドレスとサブネット
IP Unnumbered（IPアンナンバード）とは何ですか？,WAN側にIPアドレスを割り当てずにLAN側のIPアドレスを借りる設定のことです。,IPアンナンバードは、ルータのWAN側ポートにIPアドレスを割り当てることなくLAN側ポートだけにIPアドレスを割り当てることで、2台のルータをまるで1台のルータのように扱う技術です。,IPアドレスとサブネット
IPアンナンバードを使用する利点は何ですか？,割り当てるIPアドレスを節約できることです。,IPアンナンバードを使用すると、WAN側にIPアドレスを割り当てる必要がなくなるため、使用するIPアドレスの数を減らすことができます。,IPアドレスとサブネット
Unnumbered（アンナンバード）を設定することで、論理的にはどのような状態になりますか？,2台のルータを1台のように見せる技術です。,Unnumberedを設定することで、複数のルータが単一のネットワークデバイスとして機能するように見せかけることができます。,IPアドレスとサブネット
Unnumberedは一般的にどのような接続で使用されることが多いですか？,PPPoE接続で使用することが多いです。,シリアル接続時のWANセグメントのIPセグメントがもったいないからUnnumberedを使用するのではなく、一般的にはPPPoE接続で使用することが多いです。,IPアドレスとサブネット
PPPoE LAN型接続において、Unnumberedが重要な理由は何ですか？,グローバルIPアドレスを節約した構成を組むことが非常に重要になるからです。,PPPoEによるインターネット接続ではグローバルIPアドレスが付与されるので、WAN側（インターネット接続側）に割り振られるIPアドレスをなし（unnumbered）にして、グローバルIPアドレスを節約した構成を組むことが非常に重要になります。,IPアドレスとサブネット
PPPoE接続にはどのような接続方式がありますか？,端末型接続（端末払い出し）とLAN型接続（LAN型払い出し）の大きく2方式があります。,端末型接続の場合、1つのPPPoEセッションに対して、1つのグローバルIPアドレスを動的に払いだす方式。LAN型接続では、1つのPPPoEセッションに対して、1つのグローバルIPセグメントを動的に払いだす方式。,IPアドレスとサブネット
LAN型接続では、1つのPPPoEセッションに対して何が払い出されますか？,1つのグローバルIPセグメント,LAN型接続では、ISPから顧客に対して、複数のIPアドレスを含むネットワークセグメントが割り当てられます。,IPアドレスとサブネット
PPPoE以外の方式でグローバルIPアドレスを払いだす場合、Internet接続用リンク（WANリンク）には通常どのくらいのIPアドレスが使用されますか？,/30のグローバルIPアドレス,PPPoE以外の方式によって、キャリアから例えば「 /28 」のグローバルIPを払いだす場合、Internet接続用リンク（WANリンク）に/30のグローバルIPアドレスを使用します。,IPアドレスとサブネット
Unnumbered対応のルータが必要となるのは、どのような契約の場合ですか？,ISPのいわゆる「グローバル8IP」の契約,ISPが提供する「グローバル8IP」のような複数IPアドレスを利用する契約では、Unnumbered対応のルータが必要となる場合があります。,IPアドレスとサブネット
CiscoルータはUnnumberedに対応していますか？,はい、Unnumbered対応です。,Ciscoルータは、Unnumberedの設定をサポートしており、柔軟なネットワーク構成が可能です。,IPアドレスとサブネット
WANとは何ですか？,WAN（Wide Area Network）とは、地理的に離れた拠点のLANを相互に接続するネットワークのことです。,WANは、NTTなどの電気通信事業者が提供するWANサービスを利用して構築されます。企業は回線品質やコストを考慮して最適なWANサービスを選択します。,WANとインターネット
SLAとは何ですか？,SLA（Service Level Agreement）は、サービス品質保証制度のことで、サービス品質に関してキャリアと利用者の間で合意されたものです。,SLAでは、IPパケットの遅延や故障回復時間などが定められており、基準を満たさない場合に利用料金の一部が返還されることがあります。,WANとインターネット
WANサービスの種類にはどのようなものがありますか？,WANサービスには、アナログ専用線、デジタル専用線、ISDN、フレームリレー、ATM、広域イーサネット、IP-VPN、インターネットVPNなどがあります。,これらのWANサービスは、回線品質、コスト、セキュリティなどの特性が異なり、企業のニーズに合わせて選択されます。,WANとインターネット
個人やSOHOがインターネットアクセスに使用する回線にはどのようなものがありますか？,個人やSOHOがインターネットアクセスに使用する回線には、アナログ回線、ISDN、ADSL、FTTHなどの接続サービスがあります。,これらのアクセス回線は、速度、料金、利用可能エリアなどが異なり、個人のニーズに合わせて選択されます。,WANとインターネット
WANプロトコルにはどのようなものがありますか？,WANプロトコルには、フレームリレー、ATM、HDLC、PPPなどがあります。,これらのプロトコルはデータリンク層（Layer2）で動作し、シリアルインターフェースを使用します。,WANとインターネット
広域イーサネットはどの層で動作しますか？,広域イーサネットはデータリンク層で動作します。,広域イーサネットはEthernetなのでデータリンク層で動作しますが、LAN同様にEthernetポートをONUに直接接続できます。,WANとインターネット
IP-VPNはどの層で動作しますか？,IP-VPNはネットワーク層（Layer3)で動作します。,IP-VPNはIPを認識できるインターフェースなら、キャリアのサービスに合わせてどのようなI/Fでも接続できます。,WANとインターネット
インターネットVPNのWANサービスはどのようなものですか？,インターネットVPNのWANサービスはキャリアのVPN機器 (設定済み) のレンタルとなります。,IPsec等の専門的な技術を知らなくても導入できますが、設定変更などの柔軟性が乏しい（その都度費用発生）、自社で管理しにくいという観点があります。,WANとインターネット
NTTコミュニケーションズのIP-VPNサービスの名前は何ですか？,NTTコミュニケーションズのIP-VPNサービスの名前はArcstar Universal One L3です。,以前はArcstar IP-VPNという名前で提供されていました。,WANとインターネット
KDDIの広域イーサネットサービスの名前は何ですか？,KDDIの広域イーサネットサービスの名前はWide Area Virtual Switch L2です。,以前はPowered Ethernetという名前で提供されていました。,WANとインターネット
DTEの日本語訳は何ですか？,データ端末装置,DTE（Data Terminal Equipment）はデータを送受信するユーザ側の機器で、日本語ではデータ端末装置と訳されます。,WANとインターネット
DCEの日本語訳は何ですか？,データ回線終端装置,DCE（Data Circuit-Terminating Equipment）は、DTEから送られる信号を網に適した信号に変換する機器で、日本語ではデータ回線終端装置と訳されます。,WANとインターネット
CPEの日本語訳は何ですか？,顧客宅内機器,CPE（Customer Premises Equipment）は、契約した加入者宅に設置される通信機器の総称で、日本語では顧客宅内機器と訳されます。,WANとインターネット
キャリアと加入者の責任分解点を示すものは何ですか？,分解点,責任分解点は、キャリアと加入者の責任範囲の境界を示すもので、日本では通常DCE以降がキャリア側の責任となります。,WANとインターネット
加入者の敷地にある責任分解点からキャリア網のWAN機器までの回線のことを何と言いますか？,ローカルループまたはアクセス回線,加入者の敷地内の責任分解点からキャリア網までの回線は、WANがPSTNやISDNの場合はローカルループ、それ以外の場合はアクセス回線と呼ばれます。,WANとインターネット
PSTNとの接続時に使用されるDCEは何ですか？,モデム,PSTN（公衆電話網）との接続には、モデムが使用されます。モデムはアナログのローカルループを終端します。,WANとインターネット
ISDNまたはデジタル専用線との接続時に使用されるDCEは何ですか？,DSU,ISDN（Integrated Service Digital Network）またはデジタル専用線との接続には、DSUが使用されます。DSUはデジタルのローカルループを終端します。,WANとインターネット
IP-VPNや広域イーサネットとの接続時に使用されるDCEは何ですか？,ONU,IP-VPNや広域イーサネット、高速なデジタル専用線との接続には、ONU（光回線終端装置）が使用されます。,WANとインターネット
Ciscoルータで、接続されているシリアルケーブルの規格を確認するためのコマンドは何ですか？,show controllers,Ciscoルータでシリアルケーブルの規格を確認するには、`show controllers s0/0` のように、インターフェースを指定して `show controllers` コマンドを使用します。,WANとインターネット
CiscoルータでDCEとしてクロック信号を供給するために使用するコマンドは何ですか？,clock rate,CiscoルータをDCEとして動作させ、クロック信号を供給するには、インターフェースコンフィグレーションモードで `clock rate` コマンドを使用します。,WANとインターネット
WANサービスの専用型と交換型では、利用者が回線を占有して使用する方式はどちらですか？,専用型,専用型は、利用者が回線を占有して使用する方式です。交換型は複数の利用者が回線を共有する方式です。,WANとインターネット
専用線は、どのような接続方式ですか？,1対1のポイントツーポイント,専用線は、契約したユーザが回線を占有して使用できる回線サービスで、1対1のポイントツーポイントで接続されます。,WANとインターネット
PSTNは、主に何の通信用の回線サービスですか？,音声,PSTNは、公衆電話網であり主に音声の通信用の回線サービスです。,WANとインターネット
PSTNの利用料金は、どのような課金制ですか？,従量課金制,PSTNの利用料金は、接続先への距離と通信時間によって課金される従量課金制です。,WANとインターネット
ISDNは、音声通信とデータ通信を統合した回線サービスですか？,はい,ISDNは、音声通信とデータ通信を統合した回線サービスです。,WANとインターネット
ISDNの2種類の論理チャネルは何ですか？,BチャネルとDチャネル,ISDNは1つの物理回線に対して複数の論理チャネルがあり、Bチャネルはデータの伝送に使用され、Dチャネルはコールセットアップの制御情報の伝送に使用されます。,WANとインターネット
ISDNの2つのインターフェース規格は何ですか？,BRIとPRI,ISDNには、BRI（Basic Rate Interface）とPRI（Primary Rate Interface）の2つのI/F規格があります。,WANとインターネット
BRIは、何本のBチャネルと何本のDチャネルで構成されますか？,2本のBチャネルと1本のDチャネル,BRIは64kbpsの2本のBチャネルと16kbpsの1本のDチャネルとで構成されます。,WANとインターネット
PRIは、何本のBチャネルと何本のDチャネルで構成されますか？,23本のBチャネルと1本のDチャネル,PRIは、64kbpsの23本のBチャネルと64kbpsの1本のDチャネルとで構成されます。,WANとインターネット
専用線で使用されるプロトコルは何ですか？,"PPP, HDLC","専用線で使用されるプロトコルはPPP, HDLCです。",WANとインターネット
パケット交換の回線タイプで、データ伝送の方式は何ですか？,データを細かい単位（パケット）に分割してキャリア網のネットワークへデータ伝送する方式。,パケット交換では、データをパケットに分割し、宛先情報を付加して伝送します。これにより、回線を占有せずに効率的な通信が可能です。,WANとインターネット
フレームリレーは、X.25からどのような機能を取り除いたWANサービスですか？,エラー訂正機能。,フレームリレーは、エラー訂正機能を取り除くことで、高速なデータ伝送を実現しています。,WANとインターネット
フレームリレーにおけるVCの種類を2つ答えてください。,PVC（相手先固定接続）とSVC（相手先選択接続）。,PVCは常に固定された相手と接続し、SVCは必要に応じて動的に接続を確立します。,WANとインターネット
DLCIとは何の略ですか？,データリンク接続識別子。,DLCIは、フレームリレーネットワークにおいて仮想回線を識別するための番号です。,WANとインターネット
Inverse ARPは何を動的に生成するプロトコルですか？,ローカルのDLCI番号と宛先ルータのIPアドレスのフレームリレーマップ。,Inverse ARPは、DLCIとIPアドレスの対応を自動的に学習し、設定を簡略化します。,WANとインターネット
LMIのタイプを3つ答えてください。,cisco、ansi、q933a。,LMI（Local Management Interface）は、ルータとフレームリレースイッチ間の状態を監視するために使用され、異なるタイプが存在します。,WANとインターネット
CIRとは何の略ですか？,Committed Information Rate。,CIRは、フレームリレー網内で保証されるPVCごとの最低速度です。,WANとインターネット
フレームリレー網内で輻輳が発生した際に、宛先に通知するヘッダフィールドは何ですか？,FECN (Forward Explicit Congestion Notification)。,FECNは、フレームリレーネットワークにおける輻輳を宛先側に通知するために使用されます。,WANとインターネット
ATMで使用されるセルのサイズは何バイトですか？,53バイト。,ATMは、固定長の53バイトセルを使用し、その内5バイトがヘッダー、48バイトがペイロードです。,WANとインターネット
ATMの3つのレイヤーを答えてください。,AAL、ATM層、ATM物理層。,ATMは、AAL（ATM Adaptation Layer）、ATM層、ATM物理層の3つのレイヤーで構成されています。,WANとインターネット
IP-VPNで企業（利用者）で共有しているネットワークを仮想的に分離するために使用される技術は何ですか？,MPLS（Multi-Protocol Label Switching）,MPLSは、キャリア網のIPネットワークを企業で共有し、企業ごとのネットワークを仮想的に分離する技術です。,WANとインターネット
IP-VPNの場合、L3層で使用できるプロトコルは何に限定されていますか？,IP,IP-VPNでは、L3層で使用できるプロトコルがIPに限定されています。,WANとインターネット
IP-VPNにおいて、キャリア側のルータは何と呼ばれていますか？,PE (Provider Edge),IP-VPNでは、キャリア側のルータをPE (Provider Edge) といいます。,WANとインターネット
IP-VPNにおいて、企業側のルータは何と呼ばれていますか？,CE (Customer Edge),IP-VPNでは、企業側のルータをCE (Customer Edge) と呼んでいます。,WANとインターネット
MPLSにおいて、企業からのパケットを受信するとラベルを付与するキャリアのルータは何と呼ばれていますか？,LER,LER（Label Edge Router）は、MPLS網のエッジに配置され、パケットのラベルの取り付け、取り外しを行います。,WANとインターネット
MPLSにおいて、ラベルテーブルに従ってラベル情報を付け替えて転送するルータは何と呼ばれていますか？,LSR,LSR（Label Switching Router）は、ラベル付けされたパケットを受信して、ラベルテーブルに従ってラベルの付け替えを行い転送していきます。,WANとインターネット
ラベルの情報を広報するためのプロトコルは何と呼ばれていますか？,ラベル配布プロトコル,ラベル配布プロトコルは、ラベルの情報を広報するためのプロトコルで、LDP、TDP、RSVP、BGPなどがあります。,WANとインターネット
MPLS網で同じ宛先のパケットや同じ扱いをさせるパケットの集まりを何と言いますか？,FEC (Forwarding Equivalence Class),FEC（Forwarding Equivalence Class）は、MPLS網で同じ宛先のパケットや同じ扱いをさせるパケットの集まりです。,WANとインターネット
ラベル付けされたパケットがラベルスイッチングされていく片方向のパスは何と呼ばれていますか？,LSP (Label Switched Path),LSP（Label Switched Path）は、ラベル付けされたパケットがラベルスイッチングされていく片方向のパスです。,WANとインターネット
広域イーサネットで使用されている技術は何ですか？,Q-in-Q,広域イーサネットでは、キャリア網でVLANタギングを行うことで、企業ネットワークを分離しており、この技術をQ-in-Qと言います。,WANとインターネット
WANカプセル化プロトコルとして、専用線、ISDN、PSTNなどの回線に当てはまるものは何ですか？,HDLCとPPP,HDLCとPPPは、専用線、ISDN、PSTNなどの回線で使用されるWANカプセル化プロトコルです。広域イーサネットの場合はEthernetが使用されます。,WANとインターネット
HDLCとは何の略ですか？,High-level Data Link Control,HDLCは、High-level Data Link Control の略で、シリアルインターフェースで専用線などのポイントツーポイント接続で使用するデータリンク層プロトコルです。,WANとインターネット
CiscoルータでサポートされているHDLCの方式は何ですか？,Cisco独自方式のHDLC,Ciscoルータでは、ISOのHDLCはサポートされておらず、Cisco独自方式のHDLCのみをサポートしています。,WANとインターネット
Ciscoルータと他メーカーのルータをシリアル回線上でポイントツーポイント接続する場合、WANプロトコルとして推奨されるものは何ですか？,PPP,Ciscoルータと他メーカーのルータをシリアル回線上でポイントツーポイント接続する場合、HDLCは使用できないため、PPPをWANプロトコルとして使用することが推奨されます。,WANとインターネット
PPPとは何の略ですか？,Point-to-Point Protocol,PPPは、Point-to-Point Protocol の略で、専用線、PSTN、ISDNなどのポイントツーポイント接続で最もよく使用されるデータリンク層のプロトコルです。,WANとインターネット
PPPがサポートするオプションを4つ挙げてください。,認証、圧縮、マルチリンク、エラー制御,PPPはオプションとして認証、圧縮、マルチリンク、エラー制御をサポートしています。,WANとインターネット
PPPは主に2つのプロトコルで構成されています。それらは何ですか？,LCP (Link Control Protocol) と NCP（Network Control Protocol）,PPPはLCP (Link Control Protocol) と NCP（Network Control Protocol）の2つから構成されています。,WANとインターネット
LCPの主な役割は何ですか？,リンク確立、維持、切断処理,LCP（リンク制御プロトコル）はリンク確立、維持、切断処理をします。,WANとインターネット
NCPの主な役割は何ですか？,ネットワーク層プロトコルを識別し、通信の開始、終了を行う,NCP（ネットワーク制御プロトコル）は、ネットワーク層プロトコルを識別するためのタイプフィールドを持っており、ネットワーク層がIPならIPCP、IPXならIPXCPをNCPとして使用し通信の開始、終了をします。,WANとインターネット
PPPのリンク確立フェーズの順序を説明してください。,①LCPにおけるリンクの確立 ②認証（認証がある場合）③NCPにおける接続の確立,PPPの接続は、①LCPにおけるリンクの確立 ②認証（認証がある場合）③NCPにおける接続の確立の順です。,WANとインターネット
DSL (Digital Subscriber Line)とは何ですか？,デジタル加入者線のことであり、ツイストペアケーブルの通信経路で高速デジタルデータ通信を行う技術です。,DSLは既存の電話線を利用できるメリットがあり、ADSL、VDSL、HDSL、SDSL、IDSLなどの種類があります。,WANとインターネット
ADSLの最大通信速度はどのくらいですか？,下り(ダウンロード)の通信速度が1.5Mbps〜50Mbps、上り(アップロード)の通信速度が0.5Mbps〜12Mbpsです。,ADSLは非対称(Asymmetric)なDSLであり、通信方向により速度が異なります。,WANとインターネット
HDSLとSDSLの特徴は何ですか？,上りも下りも同じ通信速度であり、最大2Mbpsの通信速度となります。POTSと共存しないため、電話と同時に利用することができません。,HDSLは2対の回線を使用し、SDSLは1対の回線を使用します。,WANとインターネット
VDSLの特徴は何ですか？,下りが最大100Mbps、上りが最大40Mbpsの高速通信を実現したDSLです。ADSL同様に非対称です。,VDSLは高い周波数帯を使用しているためノイズの影響を受けやすく、長距離伝送には適していません。,WANとインターネット
ADSLを利用する際に必要な機器は何ですか？,ADSLモデムとスプリッタが必要です。,PCとADSLモデム間はRJ45のLANケーブル、電話やLINE接続はRJ11の電話ケーブルを使用します。,WANとインターネット
ADSLの周波数帯域はどのようになっていますか？,G.992.1の規格では、上り1Mbps(26〜138kHz)、下り8Mbps(148〜1104kHz)の周波数帯域を使用します。,音声通話のみ可能な0〜4KHzの周波数帯の電話サービスをPOTSといいます。,WANとインターネット
CATVインターネットとは何ですか？,テレビ放送で使用するCATV網を利用し提供されるインターネット接続サービスです。,CATVネットワークでは、0〜770MHzの間で信号がやり取りされます。,WANとインターネット
CATVインターネットで使用する周波数帯はどのくらいですか？,上りで10MHz〜55MHzの間から任意の1.6M〜6.4MHzを使用し、下りで600MHz〜770MHzの間から任意の6MHzを切り出し利用します。,テレビ放送として実際に使用している周波数帯は90MHz〜600MHzの間です。,WANとインターネット
CATVインターネットを利用する際に必要な機器は何ですか？,ケーブルモデムと混合分配器が必要です。,PCとケーブルモデム間はRJ45のLANケーブル、TVとセットトップボックスとの接続、ケーブルモデムと混合分配器との接続には同軸ケーブルを使用します。,WANとインターネット
HFCとは何ですか？,CATVインターネットで同軸ケーブルによる信号の伝送と、光ファイバーによる信号の伝送を組み合わせて使用する形態のことです。,加入者宅付近では同軸ケーブルを使用し、幹線部では光ファイバーを使用します。,WANとインターネット
FTTHとは何の略ですか？,Fiber To The Home,FTTHは、通信設備の収容局からユーザ宅までの通信伝送路を光ファイバとして直接引き込む高速なブロードバンドアクセス回線のシステムです。,WANとインターネット
FTTHの理論上の最大通信速度は？,100Mbps〜1Gbps,FTTHは、ラストワンマイルを光ファイバで構築するため、理論上100Mbps〜1Gbpsの常時接続サービスを実現できます。,WANとインターネット
FTTCとは何ですか？,Fiber To The Cabinet,FTTCは、ラストワンマイルにおける光ファイバの移行よりも共用回線部分の光ファイバへの移行を優先する計画のことです。,WANとインターネット
FTTBとは何ですか？,Fiber To The Building,FTTBは、商用ビルや高層マンションなどの集合施設で実現されているFTTHのことです。,WANとインターネット
FTTHの接続形態には何種類ありますか？,専有型と共有型の2種類,FTTHの接続形態には、専有型（SS方式）と共有型（ADS方式、PDS方式）の2種類があります。,WANとインターネット
SS方式とはどのような接続方式ですか？,収容局と加入者宅を1対1で接続する方式,SS方式は、収容局と加入者宅を1対1で接続する方式で、通信の伝送路を加入者ごとに専有できますが、コストが高くなります。,WANとインターネット
ADS方式とはどのような接続方式ですか？,収容局と加入者宅の間で多重化装置を使用する方式,ADS方式は、収容局と加入者宅の間で多重化装置を使用し、複数の加入者の信号を多重化して接続する方式です。あまり使用されません。,WANとインターネット
PDS方式とはどのような接続方式ですか？,収容局と加入者宅の間で光スプリッタを使用する方式,PDS方式は、収容局と加入者宅の間で光スプリッタを使用し、1対Nで接続する方式です。最も使用されている方式です。,WANとインターネット
PONの構成要素は何ですか？,OLT、ONU、光スプリッタ、光ファイバ,PON（PDS）の構成は、物理的には収容局に設置するOLT、加入者宅内に設置するONU、光スプリッタ、光ファイバから構成されます。,WANとインターネット
GE-PONとは何ですか？,PONの技術にギガビットイーサネットの技術を取り入れた技術,GE-PONは、1本の光ファイバを分岐して複数の加入者にて共有するPONの技術にギガビットイーサネットの技術を取り入れたもので、上り下りともに1Gbpsの通信速度を実現します。,WANとインターネット
